Adventurous,Moderate,Cautious
187.9079,179.35,175.2747
187.9098,179.3752,175.1362
189.1918,180.3526,175.9762
188.84,180.0537,175.7871
186.021,178.1127,174.8208
186.875,178.6991,175.265
185.9795,178.209,174.9586
186.9434,178.8547,175.3888
188.7323,180.1372,176.2147
186.0492,178.4487,175.2898
185.7894,178.3088,175.1044
185.7634,178.288,175.1309
186.4917,178.7307,175.3376
187.4549,179.5082,175.84
187.3134,179.4203,175.621
185.7702,178.3121,174.5474
183.6411,176.6908,173.2172
186.9961,179.0615,175.0205
188.6009,180.3329,176.0424
190.5931,181.6694,177.1053
191.4852,182.3226,177.4542
191.2443,182.3127,177.7785
193.1698,183.4823,178.4263
193.8953,184.0223,178.5855
192.6438,183.133,177.9234
191.4603,182.205,177.2838
191.4946,182.3845,177.6342
190.0681,181.4468,176.7479
188.5737,180.424,175.8084
188.8864,180.7465,176.2777
186.3207,179.1509,175.2417
182.5787,176.7374,173.814
181.3993,175.6481,172.6674
185.7522,178.6347,174.9758
186.4087,179.1172,175.3397
191.2993,182.7518,177.6848
191.084,182.4991,177.3191
192.4343,183.4083,177.995
194.4472,184.8158,178.9268
195.3865,185.3363,179.19
196.6647,186.3115,179.4824
197.2181,186.7959,180.0197
196.9004,186.5691,179.8009
197.349,186.832,179.8587
195.0709,185.2021,178.2306
191.0818,182.2624,175.5821
192.2378,182.8091,176.0877
196.2358,185.7169,178.4948
196.7771,186.087,178.8132
196.0729,185.6385,178.5071
194.6412,184.6745,177.5484
198.0198,187.1219,179.1974
196.4597,186.1537,178.6013
197.8566,187.2692,179.4954
200.2208,188.8338,180.6533
202.2581,190.4235,181.6106
201.5745,190.1415,181.5789
202.0203,190.3485,181.8265
201.5192,189.9295,181.8512
203.0115,190.8481,182.3072
204.2097,191.4918,182.7751
205.6899,192.4108,183.3061
205.695,192.6293,183.6792
206.9101,193.5405,184.3425
206.442,193.2075,184.0143
206.2293,193.3753,183.8216
209.1116,194.9495,184.4
211.7752,196.3841,185.2233
212.3563,196.7906,185.6911
210.7494,195.8281,184.9138
211.1074,196.3368,185.3496
213.071,197.7335,186.4774
217.0504,200.426,188.2331
215.2595,198.9596,187.5373
214.5701,198.4637,187.198
213.9969,198.1265,187.0702
211.7076,196.5914,186.186
213.1014,197.3603,186.5138
210.5135,195.5879,185.4735
209.3749,194.885,184.9291
211.1171,196.0592,185.7005
211.5158,196.5335,186.0445
212.8804,197.3797,186.4511
214.3902,198.3035,187.002
213.1039,197.3878,186.3627
210.8523,195.792,184.9739
209.7334,195.0815,184.5185
205.8067,192.4366,182.6989
208.1745,194.0605,183.8835
209.3877,194.8738,184.3898
205.2413,192.0605,182.2356
206.435,193.0341,182.9451
204.4568,191.5272,181.9299
207.8941,194.0838,183.9141
209.5372,195.2755,184.7797
208.6484,194.6292,184.2465
206.6584,193.0463,182.9909
207.3749,193.4774,183.4704
208.117,194.0688,183.9857
208.4616,194.0809,183.9173
206.041,192.2294,182.6759
205.2822,191.7771,182.4009
199.858,187.7151,179.4382
194.451,183.6909,176.7172
197.1754,186.0524,178.3784
198.622,186.9755,179.4271
197.7589,186.4122,179.0235
197.7862,186.3851,178.924
198.8137,187.1775,179.354
195.7883,185.1384,177.8105
197.1923,185.9689,178.3869
195.3076,184.5849,177.2866
200.1104,187.8463,179.4863
201.1434,188.5089,180.1923
202.2662,189.3465,180.6942
201.7341,189.2037,180.7447
201.2877,188.7565,180.6198
203.7635,190.7315,181.9806
203.1839,190.4185,181.8606
204.7045,191.6127,182.5473
205.1966,191.8779,182.3913
203.2309,190.6985,181.4412
202.1676,190.0218,181.3408
204.6477,191.799,182.1849
205.5388,192.4396,182.6776
205.945,192.7245,182.9811
203.8759,191.1846,181.8571
202.1716,189.8894,181.0472
198.3402,186.8039,178.6814
201.5578,189.2923,180.5664
203.7222,190.6394,181.542
205.9529,192.1637,182.6611
201.8234,189.2931,181.0397
197.6437,186.5158,179.4187
197.7446,187.0549,179.6737
194.6712,184.2725,177.6395
191.0284,180.7894,175.1762
195.985,184.0446,177.096
194.6901,183.5697,177.5312
193.2494,182.4718,176.6433
191.3397,180.1403,174.6766
185.5837,175.8962,171.9518
191.7008,180.2886,174.9041
196.0373,183.1844,176.6923
198.6077,183.9362,176.2555
202.5556,187.5667,178.8228
205.6909,189.6375,180.2622
204.3589,188.9521,180.3865
206.1055,190.4045,181.6548
205.5703,190.1531,181.7409
207.6682,190.8056,181.9601
206.3792,190.09,181.0995
207.6334,190.5489,181.4484
208.5344,191.1793,181.5795
208.8354,191.8391,182.0552
214.1845,194.9689,184.0524
213.0154,194.5763,184.1017
211.146,193.8741,183.6226
209.6812,193.3303,184.0222
206.3873,191.2197,182.5981
204.9832,189.8545,181.7671
208.043,191.6525,182.2369
206.6847,190.8926,182.2382
203.7416,189.9429,181.888
207.1946,192.7254,184.1962
209.5441,194.0945,184.7257
211.9641,194.8742,184.369
213.0204,195.3109,184.7835
208.5819,191.035,181.0111
208.4045,191.1176,181.4408
208.8723,193.1422,184.2339
214.7276,192.0188,179.2729
217.2214,194.6747,183.2336
223.2896,198.7445,185.1044
228.1888,201.8977,187.0868
224.3725,199.3186,186.6116
226.3399,200.1391,186.9993
229.1352,202.5425,188.3049
230.4405,203.2121,188.6499
231.3473,203.8595,188.7694
228.6137,202.3328,188.3802
235.2848,206.8088,191.1893
238.0674,208.8704,192.559
234.5534,206.6737,191.4976
234.8312,207.2642,191.9404
233.5507,206.4941,191.5383
234.6651,207.0189,191.6001
234.3306,207.3484,192.2731
235.3518,207.9715,192.7084
231.2953,205.0306,190.3615
235.0426,207.3207,191.3505
238.5279,209.5033,192.5969
237.2795,208.5343,191.7518
236.9805,208.4335,191.8967
242.0356,211.4867,193.4524
245.7417,213.3259,193.8367
246.4204,213.917,194.0795
246.3558,213.8605,194.2754
247.6434,214.599,194.6496
245.6605,213.4772,194.0623
245.7142,213.1471,193.5493
237.1095,208.1792,191.0335
239.4439,209.773,192.0715
241.9879,211.1012,191.9356
243.7616,212.0037,192.2604
245.246,212.7152,192.5551
245.5973,212.9929,192.6852
241.6748,210.6562,191.6373
241.4143,210.8641,191.9679
248.3165,215.0822,194.325
248.4627,215.4947,194.7429
251.5384,217.5611,195.8352
253.0101,218.5846,196.5788
254.2537,219.1995,196.9015
253.6514,219.3578,197.2808
256.0071,220.7089,197.9766
259.0285,222.4855,198.8537
259.7469,222.8946,199.0491
256.8879,221.0864,197.9715
254.6907,219.6268,197.1451
255.9918,220.2923,197.4723
254.0129,219.3008,196.9194
258.1529,221.6244,198.0934
256.9872,221.1355,198.0392
260.9766,223.4128,199.2301
262.2352,224.2846,199.7765
262.9642,224.7256,200.1569
263.16,224.9476,200.2967
267.3141,227.4088,201.6977
267.7522,227.4607,201.4678
268.2733,227.9582,201.7087
270.11,228.8209,201.9933
264.1127,225.5435,200.7172
262.7674,224.8169,200.4929
266.6465,227.0335,201.5174
265.9979,226.6969,201.4361
265.958,226.7707,201.5694
265.5874,226.7839,201.7483
262.0042,224.6371,200.6594
259.6441,223.1491,199.8618
265.6034,226.9248,202.0591
264.8785,226.7346,202.2524
264.9001,227.2424,202.7665
267.8422,228.8468,203.5863
269.8317,230.0556,204.365
265.5369,228.4618,203.9034
269.0157,230.337,204.8666
271.6562,231.673,205.3339
272.8022,232.5236,205.6436
273.5718,232.7696,205.5691
276.3393,233.9537,205.9138
274.2718,232.8925,205.329
278.5609,235.3733,206.59
275.232,233.3737,205.597
273.4207,232.3383,205.146
270.4977,230.7089,204.4471
270.9387,231.0036,204.5717
273.8874,232.1781,204.9727
